Datetime,Clear Sky Surface Shortwave Downward Irradiance,All Sky Surface Shortwave Downward Irradiance,Temperature at 2 Meters (C),Wind Speed at 10 Meters (m/s),Relative Humidity at 2 Meters (%),Hour,Month,DayOfYear,Hour_Sin,Hour_Cos,Month_Sin,Month_Cos,Cloud_Effect,Lag_24h,Lag_48h,Rolling_Mean_24h,Fitted_SARIMAX,Residuals,Scaled_Residuals
2024-01-01 00:00:00,0.0,0.0,0.11555127587867131,0.16100278551532032,0.8000272071826962,0,1,1,0.0,1.0,0.4999999999999999,0.8660254037844387,0.0,0.0,0.0,201.2045833333333,-25.588198345294405,25.588198345294405,0.5933379103659245
2024-01-01 01:00:00,0.0,0.0,0.1092922484352431,0.15710306406685234,0.7963542375187049,1,1,1,0.2588190451025207,0.9659258262890684,0.4999999999999999,0.8660254037844387,0.0,0.0,0.0,201.2045833333333,-3.4226161171515592,3.4226161171515592,0.5476640028915865
2024-01-01 02:00:00,0.0,0.0,0.10158883004333175,0.15988857938718662,0.797306488913073,2,1,1,0.4999999999999999,0.8660254037844387,0.4999999999999999,0.8660254037844387,0.0,0.0,0.0,201.2045833333333,-4.612208636400776,4.612208636400776,0.5501152508713201
2024-01-01 03:00:00,0.0,0.0,0.09340394800192586,0.1643454038997214,0.8004353149231398,3,1,1,0.7071067811865475,0.7071067811865476,0.4999999999999999,0.8660254037844387,0.0,0.0,0.0,201.2045833333333,-5.119492368216072,5.119492368216072,0.5511605484859593
2024-01-01 04:00:00,0.0,0.0,0.08907077515647577,0.16657381615598882,0.8015236022309888,4,1,1,0.8660254037844386,0.5000000000000001,0.4999999999999999,0.8660254037844387,0.0,0.0,0.0,201.2045833333333,-4.48199966079849,4.48199966079849,0.5498469451420693
2024-01-01 05:00:00,0.0,0.0,0.08425613866153114,0.16713091922005568,0.8028839613658005,5,1,1,0.9659258262890684,0.2588190451025207,0.4999999999999999,0.8660254037844387,0.0,0.0,0.0,201.2045833333333,-4.453847761866765,4.453847761866765,0.5497889359630729
2024-01-01 06:00:00,0.04618589999202488,39.28,0.11073663938372647,0.16155988857938716,0.793905591076044,6,1,1,1.0,6.123233995736766e-17,0.4999999999999999,0.8660254037844387,7.049999999999997,43.08,46.03,201.04625,36.321633265776384,2.958366734223617,0.5467073809024764
2024-01-01 07:00:00,0.2421445091315097,196.98,0.18728935965334614,0.18830083565459607,0.6948714460617602,7,1,1,0.9659258262890684,-0.2588190451025206,0.4999999999999999,0.8660254037844387,45.920000000000016,213.6,217.62,200.35375,196.19205268790526,0.7879473120947296,0.5422350627451415
2024-01-01 08:00:00,0.4561268841215408,382.77,0.2527684159845932,0.18440111420612812,0.611753502924772,8,1,1,0.8660254037844387,-0.4999999999999998,0.4999999999999999,0.8660254037844387,74.78000000000003,400.38,400.83,199.62,370.10573095002206,12.664269049977918,0.5667071480983894
2024-01-01 09:00:00,0.6327458330010368,559.03,0.28984111699566684,0.18328690807799441,0.5770643449870766,9,1,1,0.7071067811865476,-0.7071067811865475,0.4999999999999999,0.8660254037844387,75.69000000000005,572.83,580.15,199.045,520.4957159531541,38.53428404684587,0.6200143276330858
